State,CD,Name,Incumbent,Party,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,GOP,PVI,,,,,,,
MA,05,MA05,"Clark, Katherine",(D),69.3,25.7,65.2,33.1,66.2,32.1,67%,33%,13.84,,,,,,,
MA,06,MA06,"Moulton, Seth",(D),56.1,38.2,54.7,43.9,56.9,41.4,57%,43%,3.68,,,,,,,
MA,07,MA07,"Capuano, Mike",(D),84.1,11.9,82.5,15.6,81.9,16.7,84%,16%,30.58,,,,,,,
MA,08,MA08,"Lynch, Stephen",(D),60.4,34.4,57.8,40.8,57.9,40.5,59%,41%,5.73,,,,,,,
MA,09,MA09,"Keating, Bill",(D),52.5,41.8,55.5,43.1,57.8,40.6,58%,42%,4.51,,,,,,,
MD,01,MD01,"Harris, Andy",(R),33.4,62,37.7,60.4,38.4,59.6,39%,61%,14.19,,,,,,,
MD,02,MD02,"Ruppersberger, Dutch",(D),60.1,35.7,63.1,35,60.6,37.5,63%,37%,10.05,,,,,,,
MD,03,MD03,"Sarbanes, John",(D),62.8,32.3,60.7,37.1,60.1,38,62%,38%,8.66,,,,,,,
MD,04,MD04,"Brown, Anthony",(D),77.2,19.7,78.1,20.8,77.3,21.8,78%,22%,25.48,,,,,,,
MD,05,MD05,"Hoyer, Steny",(D),64.1,32.1,66.1,32.4,65.1,33.6,67%,33%,13.53,,,,,,,
MD,06,MD06,"Delaney, John",(D),55.3,40.2,55.2,42.8,56.3,42,57%,43%,3.8,,,,,,,
MD,07,MD07,"Cummings, Elijah",(D),75.8,20.2,76.2,22.3,76.2,22.4,77%,23%,24.32,,,,,,,
MD,08,MD08,"Raskin, Jamie",(D),65,30.6,62,36,62.8,35.6,64%,36%,10.54,,,,,,,
ME,01,ME01,"Pingree, Chellie",(D),54.1,39.3,59.6,38.2,60.7,37.5,61%,39%,8.38,,,,,,,
ME,02,ME02,"Poliquin, Bruce",(R),41.1,51.4,52.9,44.4,54.6,43.4,55%,45%,2.04,,,,,,,
MI,01,MI01,"Bergman, Jack",(R),36.6,57.9,45.3,53.6,49.7,48.4,48%,52%,4.78,,,,,,,
MI,02,MI02,"Huizenga, Bill",(R),38.2,55.8,43.1,56,48,50.3,46%,54%,6.85,,,,,,,
MI,03,MI03,"Amash, Justin",(R),42.2,51.6,45.8,53.1,49.7,48.6,48%,52%,4.57,,,,,,,
MI,04,MI04,"Moolenaar, John",(R),34.7,59.5,45.5,53.5,49.6,48.6,48%,52%,4.77,,,,,,,
