St,CD,CD_Name,Obama12,Romney12,Obama08,McCain08,Kerry04,Bush04,Dem,GOP,PVI,,,,,,,
NY,3,NY03,51.1,47.9,53.5,45.6,54,46,54%,46%,2.78,,,,,,,
NY,4,NY04,56.3,42.8,55.3,43.9,54,46,55%,45%,3.65,,,,,,,
NY,5,NY05,90.6,9.1,86.3,13.4,82,18,84%,16%,33.06,,,,,,,
NY,6,NY06,67.8,31.1,63.3,35.6,63,37,63%,37%,12.28,,,,,,,
NY,7,NY07,88.4,10.3,84.4,14.9,80,20,82%,18%,31.27,,,,,,,
NY,8,NY08,89.2,10.2,83.6,16.1,82,18,83%,17%,31.71,,,,,,,
NY,9,NY09,85.2,13.9,86.1,13.4,81,19,84%,16%,32.54,,,,,,,
NY,10,NY10,73.6,25.1,75.7,23.3,74,26,75%,25%,24.01,,,,,,,
NY,11,NY11,51.5,47.3,48.3,50.9,45,55,47%,53%,4.38,,,,,,,
NY,12,NY12,76.9,21.5,80.2,18.8,77,23,79%,21%,27.78,,,,,,,
NY,13,NY13,94.6,4.6,93.3,6.1,90,10,92%,8%,40.71,,,,,,,
NY,14,NY14,80.7,18.3,76.1,23.3,72,28,74%,26%,23.06,,,,,,,
NY,15,NY15,96.8,3,94.5,5.2,89,11,92%,8%,40.67,,,,,,,
NY,16,NY16,73.7,25.5,72.9,26.5,68,32,71%,29%,19.45,,,,,,,
NY,17,NY17,57.1,41.9,58,41.2,54,46,56%,44%,5.01,,,,,,,
NY,18,NY18,51.4,47.1,52.1,46.8,46,54,49%,51%,1.89,,,,,,,
NY,19,NY19,51.9,45.6,52.9,45.3,49,51,51%,49%,0.2,,,,,,,
NY,20,NY20,59.2,38.8,58.3,39.8,56,44,58%,42%,6.48,,,,,,,
NY,21,NY21,52.2,46.1,51.5,46.8,47,53,50%,50%,1.54,,,,,,,
NY,22,NY22,48.8,49.2,49.1,49.1,46,54,48%,52%,3.23,,,,,,,
NY,23,NY23,48.4,49.6,49.5,48.8,45,55,48%,52%,3.56,,,,,,,
