State,CD,Name,Incumbent,Party,Obama 2012,Romney 2012,Obama 2008,McCain 2008,Dem,GOP,PVI,,,,,,,,,
MO,02,MO02,"Wagner, Ann",(R),41.4,57.1,46.4,52.6,44%,56%,8.54,,,,,,,,,
MO,03,MO03,"Luetkemeyer, Blaine",(R),36.1,62,42.8,55.8,40%,60%,12.89,,,,,,,,,
MO,04,MO04,"Hartzler, Vicki",(R),36.4,61.2,41.9,56.5,40%,60%,13.05,,,,,,,,,
MO,05,MO05,"Cleaver, Emanuel",(D),58.9,39.4,62,36.8,61%,39%,8.34,,,,,,,,,
MO,06,MO06,"Graves, Sam",(R),37.9,60,43.1,55.3,41%,59%,11.74,,,,,,,,,
MO,07,MO07,"Long, Billy",(R),30.3,67.6,35.3,63.1,33%,67%,19.58,,,,,,,,,
MO,08,MO08,"Smith, Jason",(R),32,65.9,38.3,60,36%,64%,17.17,,,,,,,,,
MS,01,MS01,"Kelly, Trent",(R),37,61.9,36.6,62.4,37%,63%,15.81,,,,,,,,,
MS,02,MS02,"Thompson, Bennie",(D),66.4,33,64.2,35.2,66%,34%,12.69,,,,,,,,,
MS,03,MS03,"Harper, Gregg",(R),39.1,60,38.4,60.8,39%,61%,13.92,,,,,,,,,
MS,04,MS04,"Palazzo, Steven",(R),31.2,67.6,31.1,67.9,31%,69%,21.5,,,,,,,,,
MT,1,MT01,"Zinke, Ryan",(R),41.7,55.4,47.3,49.5,46%,54%,7.1,,,,,,,,,
NC,01,NC01r,"Butterfield, G.K.",(D),71.6,27.9,71,29,71%,29%,18.48,,,,,,,,,
NC,02,NC02r,"Ellmers, Renee",(R),41.7,57.3,43,56,43%,57%,10.22,,,,,,,,,
NC,03,NC03r,"Jones, Walter",(R),41,58,43,56,42%,58%,10.58,,,,,,,,,
NC,04,NC04r,"Price, David",(D),71.4,27.4,72,27,72%,28%,19.5,,,,,,,,,
NC,05,NC05r,"Foxx, Virginia",(R),39.8,59.1,42,57,41%,59%,11.67,,,,,,,,,
NC,06,NC06r,"Walker, Mark",(R),41.3,57.7,43,56,43%,57%,10.42,,,,,,,,,
NC,07,NC07r,"Rouzer, David",(R),39.9,59.2,42,58,41%,59%,11.86,,,,,,,,,
NC,08,NC08r,"Hudson, Richard",(R),41,58.1,42,57,42%,58%,11.1,,,,,,,,,
NC,09,NC09r,"Pittenger, Robert",(R),42.8,56.2,45,54,44%,56%,8.66,,,,,,,,,
NC,10,NC10r,"McHenry, Patrick",(R),40.9,58,42,57,42%,58%,11.11,,,,,,,,,
NC,11,NC11r,"Meadows, Mark",(R),37.8,60.9,40,58,40%,60%,13.45,,,,,,,,,
