CD_Name,Year,Lookup,PVI
FL14o,2008,FL14o_2008,11.01356987
FL15o,2008,FL15o_2008,5.485931683
FL16o,2008,FL16o_2008,4.480906557
FL17o,2008,FL17o_2008,-34.21256078
FL18o,2008,FL18o_2008,2.714574899
FL19o,2008,FL19o_2008,-14.61457083
FL20o,2008,FL20o_2008,-12.60452058
FL21o,2008,FL21o_2008,5.214574899
FL22o,2008,FL22o_2008,-0.785425101
FL23o,2008,FL23o_2008,-28.2854251
FL24o,2008,FL24o_2008,4.214574899
FL25o,2008,FL25o_2008,4.480906557
GA01o,2008,GA01o_2008,16.0386955
GA02o,2008,GA02o_2008,-0.785425101
GA03o,2008,GA03o_2008,18.89134258
GA04o,2008,GA04o_2008,-24.16230952
GA05o,2008,GA05o_2008,-25.66984721
GA06o,2008,GA06o_2008,17.88124157
GA07o,2008,GA07o_2008,16.54120806
GA08o,2008,GA08o_2008,10.00854475
GA09o,2008,GA09o_2008,27.59648445
GA10o,2008,GA10o_2008,14.53115781
GA11o,2008,GA11o_2008,20.058796
GA12o,2008,GA12o_2008,-0.805627121
GA13o,2008,GA13o_2008,-14.61457083
HI01o,2008,HI01o_2008,-10.90663722
HI02o,2008,HI02o_2008,-13.93694025
IA01o,2008,IA01o_2008,-4.846031162
IA02o,2008,IA02o_2008,-7.161059619
IA03o,2008,IA03o_2008,-1.310677626
IA04o,2008,IA04o_2008,-0.054460634
IA05o,2008,IA05o_2008,9.082595203
ID01o,2008,ID01o_2008,17.71203683
ID02o,2008,ID02o_2008,17.54110551
IL01o,2008,IL01o_2008,-33.7854251
IL02o,2008,IL02o_2008,-35.7854251
IL03o,2008,IL03o_2008,-10.59447033
IL04o,2008,IL04o_2008,-31.61370793
IL05o,2008,IL05o_2008,-19.1371839
IL06o,2008,IL06o_2008,-0.544219071
IL07o,2008,IL07o_2008,-34.2854251
IL08o,2008,IL08o_2008,0.963318617
IL09o,2008,IL09o_2008,-19.49249581
IL10o,2008,IL10o_2008,-6.071857262
IL11o,2008,IL11o_2008,0.960767792
IL12o,2008,IL12o_2008,-2.320778637
IL13o,2008,IL13o_2008,1.46583118
IL14o,2008,IL14o_2008,1.214574899
IL15o,2008,IL15o_2008,6.265079949
IL16o,2008,IL16o_2008,1.975996219
IL17o,2008,IL17o_2008,-3.100145913
IL18o,2008,IL18o_2008,5.760029444
IL19o,2008,IL19o_2008,9.29538298
IN01o,2008,IN01o_2008,-7.876334192
IN02o,2008,IN02o_2008,2.224675909
IN03o,2008,IN03o_2008,13.84083753
IN04o,2008,IN04o_2008,14.34588803
IN05o,2008,IN05o_2008,16.87114056
IN06o,2008,IN06o_2008,10.30548399
IN07o,2008,IN07o_2008,-13.6095457
IN08o,2008,IN08o_2008,8.285281969
IN09o,2008,IN09o_2008,6.265079949
KS01o,2008,KS01o_2008,22.78817896
KS02o,2008,KS02o_2008,9.377840205
KS03o,2008,KS03o_2008,3.234776919
KS04o,2008,KS04o_2008,13.45947286
KY01o,2008,KY01o_2008,14.34588803
KY02o,2008,KY02o_2008,14.85093854
KY03o,2008,KY03o_2008,-2.554269322
KY04o,2008,KY04o_2008,13.65112312
KY05o,2008,KY05o_2008,15.86103955
KY06o,2008,KY06o_2008,8.57498099
LA01o,2008,LA01o_2008,23.94184763
LA02o,2008,LA02o_2008,-24.03795035
LA03o,2008,LA03o_2008,11.62066627
LA04o,2008,LA04o_2008,10.81053449
LA05o,2008,LA05o_2008,13.84083753
LA06o,2008,LA06o_2008,10.09782363
LA07o,2008,LA07o_2008,13.65112312
MA01o,2008,MA01o_2008,-13.58134347
MA02o,2008,MA02o_2008,-8.683902259
MA03o,2008,MA03o_2008,-8.683902259
